price_id,listing_id,price,timestamp
1,1001254,966,2024-01-01
2,1002102,142,2024-01-01
3,1002403,620,2024-01-01
4,1002755,368,2024-01-01
5,1003689,204,2024-01-01
6,1004098,577,2024-01-01
7,1004650,71,2024-01-01
8,1005202,1060,2024-01-01
9,1005754,1018,2024-01-01
10,1006307,291,2024-01-01
11,1006859,319,2024-01-01
12,1007411,606,2024-01-01
13,1007964,714,2024-01-01
14,1008516,580,2024-01-01
15,1009068,149,2024-01-01
16,1009621,578,2024-01-01
17,1010173,778,2024-01-01
18,1010725,656,2024-01-01
19,1011277,460,2024-01-01
20,1011830,1095,2024-01-01
21,1012382,281,2024-01-01
22,1012934,477,2024-01-01
23,1013487,133,2024-01-01
24,1014039,1050,2024-01-01
25,1014591,816,2024-01-01
26,1015144,1175,2024-01-01
27,1015696,530,2024-01-01
28,1022323,1097,2024-01-01
29,1022876,1020,2024-01-01
30,1023428,1010,2024-01-01
31,1023980,563,2024-01-01
32,1024533,370,2024-01-01
33,1025085,687,2024-01-01
34,1025637,856,2024-01-01
35,1028399,363,2024-01-01
36,1028951,212,2024-01-01
37,1029503,728,2024-01-01
38,1030056,901,2024-01-01
39,1030608,335,2024-01-01
40,1031160,254,2024-01-01
41,1031713,903,2024-01-01
42,1032265,439,2024-01-01
43,1032817,1024,2024-01-01
44,1033369,658,2024-01-01
45,1033922,543,2024-01-01
46,1034474,256,2024-01-01
47,1035026,294,2024-01-01
48,1035579,779,2024-01-01
49,1036131,653,2024-01-01
50,1036683,303,2024-01-01
51,1037236,825,2024-01-01
52,1037788,646,2024-01-01
53,1038340,1037,2024-01-01
54,1038892,87,2024-01-01
55,1039445,316,2024-01-01
56,1039997,735,2024-01-01
57,1040549,524,2024-01-01
58,1041102,238,2024-01-01
59,1041654,603,2024-01-01
60,1044968,744,2024-01-01
61,1045520,1065,2024-01-01
62,1046072,1057,2024-01-01
63,1046625,1056,2024-01-01
64,1047177,909,2024-01-01
65,1047729,586,2024-01-01
66,1048282,575,2024-01-01
67,1048834,292,2024-01-01
68,1049386,194,2024-01-01
69,1049938,123,2024-01-01
70,1050491,1079,2024-01-01
71,1058775,1078,2024-01-01
72,1059328,887,2024-01-01
73,1059880,243,2024-01-01
74,1060432,500,2024-01-01
75,1060984,589,2024-01-01
76,1061537,839,2024-01-01
77,1062089,528,2024-01-01
78,1062641,66,2024-01-01
79,1063194,761,2024-01-01
80,1063746,523,2024-01-01
81,1064298,631,2024-01-01
82,1064851,677,2024-01-01
83,1065403,574,2024-01-01
84,1069821,1105,2024-01-01
85,1070374,1109,2024-01-01
86,1070926,659,2024-01-01
87,1071478,571,2024-01-01
88,1072030,736,2024-01-01
89,1072583,946,2024-01-01
90,1073135,449,2024-01-01
91,1073687,930,2024-01-01
92,1074240,329,2024-01-01
93,1074792,1125,2024-01-01
94,1075344,1099,2024-01-01
95,1075897,256,2024-01-01
96,1076449,263,2024-01-01
97,1077001,96,2024-01-01
98,1077553,1192,2024-01-01
99,1078106,593,2024-01-01
100,1078658,490,2024-01-01
101,1079210,488,2024-01-01
102,1079763,658,2024-01-01
103,1080315,1109,2024-01-01
104,1080867,606,2024-01-01
105,1081420,853,2024-01-01
106,1081972,172,2024-01-01
107,1083629,1133,2024-01-01
108,1084181,162,2024-01-01
109,1084733,944,2024-01-01
